symbol,exchange,shortName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,messageBoardId,market,longNamecompanyOfficers,twitter,name,startDate,description,maxAge,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,website,address1,address2,address3,industryinitInvestment,family,categoryName,initAipInvestment,subseqIraInvestment,brokerages,managementInfo,subseqInvestment,legalType,styleBoxUrl,feesExpensesInvestment,feesExpensesInvestmentCat,initIraInvestment,subseqAipInvestment
B,NYQ,"Barnes Group, Inc.",America/New_York,EST,False,-18000000.0,finmb_254193,us_market,,,,,,1.0,06010-6376,Industrials,5749.0,"Barnes Group Inc. provides engineered products, industrial technologies, and innovative solutions in the United States and internationally. The company operates through two segments: Industrial and Aerospace. The Industrial segment offers precision components, products, and systems used by various customers in end-markets, such as transportation, industrial equipment, automation, personal care, packaging, electronics, and medical devices. This segment also designs and manufactures hot runner systems, mold cavity sensors and process control systems, and precision high cavitation mold assemblies for injection molding applications; provides force and motion control solutions for various metal forming and other industrial markets; and designs and develops robotic grippers, end-of-arm tooling systems, sensors, and other automation components for intelligent robotic handling solutions and industrial automation applications. In addition, it manufactures and supplies precision mechanical products, including mechanical springs, and high-precision punched and fine-blanked components used in transportation and industrial applications, including mechanical springs, and high-precision punched and fine-blanked components. This segment sells its products primarily through its direct sales force and distribution channels. The Aerospace segment produces fabricated and precision machined components and assemblies turbine engines; and nacelles, and structures for commercial and military aircrafts. It also provides aircraft engine component maintenance, repair, and overhaul services for turbine engine manufacturers, commercial airlines, and the military; and manufactures and delivers aerospace aftermarket spare parts. This segment primarily serves original equipment manufacturing industry. Barnes Group Inc. was founded in 1857 and is based in Bristol, Connecticut.",Bristol,860 583 7070,CT,United States,http://www.barnesgroupinc.com,123 Main Street,,,,,,,,,,,,,,,,
BA,NYQ,Boeing Company (The),America/New_York,EST,False,-18000000.0,finmb_370857,us_market,,,,,,1.0,60606-1596,Industrials,141000.0,"The Boeing Company, together with its subsidiaries, designs, develops, manufactures, sales, services, and supports commercial jetliners, military aircraft, satellites, missile defense, human space flight and launch systems, and services worldwide. The company operates through four segments: Commercial Airplanes; Defense, Space & Security; Global Services; and Boeing Capital. The Commercial Airplanes segment provides commercial jet aircraft for passenger and cargo requirements, as well as fleet support services. The Defense, Space & Security segment engages in the research, development, production, and modification of manned and unmanned military aircraft and weapons systems; strategic defense and intelligence systems, which include strategic missile and defense systems, command, control, communications, computers, intelligence, surveillance and reconnaissance, cyber and information solutions, and intelligence systems; and satellite systems, such as government and commercial satellites, and space exploration. The Global Services segment offers products and services, including supply chain and logistics management, engineering, maintenance and modifications, upgrades and conversions, spare parts, pilot and maintenance training systems and services, technical and maintenance documents, and data analytics and digital services to commercial and defense customers. The Boeing Capital segment offers financing services and manages financing exposure for a portfolio of equipment under operating and finance leases, notes and other receivables, assets held for sale or re-lease, and investments. The company was founded in 1916 and is based in Chicago, Illinois.",Chicago,312-544-2000,IL,United States,http://www.boeing.com,100 North Riverside Plaza,,,,,,,,,,,,,,,,
BMRA,NCM,"Biomerica, Inc.",America/New_York,EST,False,-18000000.0,finmb_254941,us_market,,,,,,1.0,92614,Healthcare,65.0,"Biomerica, Inc., a biomedical technology company, together with its subsidiaries, develops, patents, manufactures, and markets diagnostic and therapeutic products or detection and/or treatment of medical conditions and diseases worldwide. The company's diagnostic test kits are used to analyze blood, urine, or fecal specimens from patients in the diagnosis of various diseases and other medical complications; or to measure the level of specific bacteria, hormones, antibodies, antigens, or other substances, which exist in the patient's body and stools or blood in extremely small concentrations. It primarily sells its products for gastrointestinal diseases, food intolerances, diabetes, and various esoteric tests at the physicians' offices and over-the-counter drugstores, and hospital/clinical laboratories. The company is also developing InFoods, an irritable bowel syndrome (IBS) therapy technology and diagnostic-guided therapy that is designed to allow physicians to identify specific foods that when removed from the patient's diet can alleviate the patient's IBS symptoms; Helicobacter pylori products; and develops, tests, validates, and sells diagnostic products for COVID-19 infection. Biomerica, Inc. was founded in 1971 and is headquartered in Irvine, California.",Irvine,949 645 2111,CA,United States,http://www.biomerica.com,17571 Von Karman Avenue,,,,,,,,,,,,,,,,
BNL,NYQ,"Broadstone Net Lease, Inc.",America/New_York,EST,False,-18000000.0,finmb_62454807,us_market,,,,,,1.0,14604,Real Estate,,"BNL is an internally-managed REIT that acquires, owns, and manages primarily single-tenant commercial real estate properties that are net leased on a long-term basis to a diversified group of tenants. The Company utilizes an investment strategy underpinned by strong fundamental credit analysis and prudent real estate underwriting. As of September 30, 2020, BNL's diversified portfolio consisted of 627 properties in 41 U.S. states and one property in Canada across the industrial, healthcare, restaurant, office, and retail property types, with an aggregate gross asset value of approximately $4.0 billion.",Rochester,585-287-6500,NY,United States,http://www.broadstone.com,800 Clinton Square,,,,,,,,,,,,,,,,
BEKE,NYQ,KE Holdings Inc,America/New_York,EST,False,-18000000.0,finmb_665898843,us_market,,,,,,1.0,100085,Real Estate,,"KE Holdings Inc. operates an integrated online and offline platform for housing transactions and services in the People's Republic of China. The company facilitates various housing transactions ranging from existing and new home sales and home rentals to home renovation, real estate financial solutions, and other services. It also owns and operates Lianjia, a real estate brokerage branded store. The company was founded in 2001 and is headquartered in Beijing, China.",Beijing,86 10 5810 4689,,China,http://ke.com,Building Fudao,No.11 Kaituo Road Haidian District,,,,,,,,,,,,,,,
BMRGU,NYS,B. Riley Principal Merger Corp. II,America/New_York,EST,False,-18000000.0,,us_market,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BCACU,NCM,Brookline Capital Acquisition C,America/New_York,EST,False,-18000000.0,finmb_671777934,us_market,,,,,,1.0,10022,Financial Services,,"Brookline Capital Acquisition Corp. does not have significant operations. It intends to effect a merger, share exchange, asset acquisition, stock purchase, recapitalization, reorganization, or other similar business combination with one or more businesses or entities in the life sciences industry. The company was founded in 2020 and is based in New York, New York.",New York,646 643 6716,NY,United States,,600 Lexington Avenue,33rd Floor,,,,,,,,,,,,,,,
BTAQU,NCM,Burgundy Technology Acquisition,America/New_York,EST,False,-18000000.0,finmb_681316414,us_market,,,,,,1.0,KY1-1104,Financial Services,,"Burgundy Technology Acquisition Corporation intends to effect a merger, share exchange, asset acquisition, share purchase, reorganization, or similar business combination with one or more businesses. It focuses on public and private opportunities in the technology sector, primarily companies in enterprise software or technology-enabled services. The company was founded in 2020 and is based in George Town, the Cayman Islands.",George Town,345 945 7099,,Cayman Islands,,PO Box 1093,Boundary Hall Cricket Square,,,,,,,,,,,,,,,
BIGC,NGM,"BigCommerce Holdings, Inc. - Se",America/New_York,EST,False,-18000000.0,finmb_676858391,us_market,,,,,,1.0,78726,Technology,690.0,"BigCommerce Holdings, Inc. operates a software-as-a-service platform in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. The company's platform simplifies the creation of engaging online stores. It powers its customers' branded ecommerce stores and their cross-channel connections to various online marketplaces, social networks, and offline point-of-sale systems. As of September 30, 2020, the company served approximately 60,000 online stores across industries in approximately 150 countries. BigCommerce Holdings, Inc. was founded in 2009 and is headquartered in Austin, Texas.",Austin,512 865 4500,TX,United States,http://investors.bigcommerce.com,11305 Four Points Drive,Building II Third Floor,,,,,,,,,,,,,,,
BSY,NMS,"Bentley Systems, Incorporated",America/New_York,EST,False,-18000000.0,finmb_25514,us_market,,,,,,1.0,19341,Technology,,"Bentley Systems, Incorporated develops software for infrastructure design, construction, and operations. It provides MicroStation, a modeling, documentation, and visualization solution for information modeling; ProjectWise, a project information management and collaboration solution; AssetWise, an asset information management solution; PlantSight, a digital solution to benefit customers through plant operations; and SYNCHRO XR for HoloLens 2 that enables users to interact collaboratively with digital construction models using gestures to plan, visualize, and experience construction sequencing. The company also offers iModelHub, a cloud platform to accelerate going digital for users of its ProjectWise design integration services; OpenSite Designer, an integrated application for civil site and land development workflows across conceptual, preliminary, and detailed design phases; and iModel.js, an open-source library to improve the accessibility for visualization and analytical visibility of infrastructure digital twins. In addition, it provides solution implementation, on-boarding, change management, consulting, and on premise managed services. The company serves engineers, architects, planners, contractors, fabricators, information technology managers, and operators. Bentley Systems, Incorporated has strategic alliances with Siemens and Microsoft Corp. The company was founded in 1984 and is headquartered in Exton, Pennsylvania.",Exton,610 458 5000,PA,United States,http://www.bentley.com,685 Stockton Drive,,,,,,,,,,,,,,,,
